"fsym_id","ShortInterestDateCurrent","ShortInterestDateOneMonthAgo","ShortInterestDateTwoMonthsAgo","ShortInterestDateThreeMonthsAgo","ShortInterestDateFourMonthsAgo","ShortInterestDateFiveMonthsAgo","ShortInterestDateSixMonthsAgo","ShortInterestDateSevenMonthsAgo","ShortInterestDateEightMonthsAgo","ShortInterestDateNineMonthsAgo","ShortInterestDateTenMonthsAgo","ShortInterestDateElevenMonthsAgo","ShortInterestShsCurrent","ShortInterestShsOneMonthAgo","ShortInterestShsTwoMonthsAgo","ShortInterestShsThreeMonthsAgo","ShortInterestShsFourMonthsAgo","ShortInterestShsFiveMonthsAgo","ShortInterestShsSixMonthsAgo","ShortInterestShsSevenMonthsAgo","ShortInterestShsEightMonthsAgo","ShortInterestShsNineMonthsAgo","ShortInterestShsTenMonthsAgo","ShortInterestShsElevenMonthsAgo","ShortInterestRatioCurrent","ShortInterestRatioOneMonthAgo","ShortInterestRatioTwoMonthsAgo","ShortInterestRatioThreeMonthsAgo","ShortInterestRatioFourMonthsAgo","ShortInterestRatioFiveMonthsAgo","ShortInterestRatioSixMonthsAgo","ShortInterestRatioSevenMonthsAgo","ShortInterestRatioEightMonthsAgo","ShortInterestRatioNineMonthsAgo","ShortInterestRatioTenMonthsAgo","ShortInterestRatioElevenMonthsAgo","ShortInterestAsPercentOfFloat"
"BRZXV5-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",0,27000,10100,0,1000,32000,15000,5100,0,0,0,0,0,.372718,.109915,0,.00414163,.435493,.0958906,.0182227," "," "," ",0,0
"X356HY-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",17170467,16070701,15403486,14218323,14553239,12344487,11898652,11708572,12232216,11534812,12167542,11036154,9.94528,9.92356,9.56047,5.62784,4.56185,7.84092,10.6387,7.68834,8.14848,9.03794,4.33041,4.97322,15.755555127344
"FW7VWJ-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",4598,4598,4598,4598,4598,4598,4598,5398,55091,100,0,300," "," "," "," ",.261994,.0736337,.0436907,.0492692,.743346,.00136926,0,.0025013,0
"MWQ213-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",25562300,28019675,31760318,32040915,32438533,35115601,34013888,34294486,35054417,34617143,35360299,35630861,9.04345,5.07462,14.485,21.1113,14.4048,14.123,22.3791,6.09493,23.3792,21.817,15.6508,7.78004,23.2215279515211
"FT8DNV-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",7180144,6841239,7358035,7732425,6781769,6893719,7737257,7569978,6261521,7087198,7362361,7830479,3.96069,4.29065,2.46656,4.4734,2.58263,2.79753,2.95853,2.29864,1.66024,2.73311,2.39433,3.45819,1.22570814042566
"G6XS46-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",905,1688,425,4063,82300,194484,0,0,0,0,0,0,.0066775,.0217223,.0039365,.0112537,.117732,.147689," "," "," "," "," "," ",0
"BY89LN-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",2949161,2992836,2951521,2872912,2791496,2705767,2865287,2980364,3105477,3206533,3141858,3447200,43.4077,47.1001,50.9779,45.5757,18.4784,8.10396,26.0699,19.2232,29.554,36.7418,13.1847,7.64951,9.87175882812251
"M4LR00-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",2760246,2504957,2548451,2642105,2919056,2368922,1891904,2101151,2116142,1737494,1895850,2080836,1.52771,2.31051,2.23267,2.39115,2.00146,2.01476,1.58421,2.94193,2.25802,2.59283,1.53347,1.56601,2.40075393654635
"QBTCXD-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",116862,48632,41492,46584,47228,107928,307387,67600,213831,51996,60230,84297,1.16603,.563379,1.20765,1.08325,.872487,1.95247,5.26904,1.58405,6.89872,1.40579,1.43129,1.25018,0
"VNMK97-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",2173753,2509910,2367945,3701780,3848546,3704405,3304882,2800493,2871638,2937223,3033698,3064722,4.17111,4.93321,1.88421,4.49167,3.93685,3.30168,2.11482,3.16728,5.78481,6.89508,4.71282,4.36724,2.40083549733127
"R5ZJZN-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",18386,318577,57376,14510,3238,9928,21478,0,182800,0,0,0,.0707319,1.23311,.379725,.179368,.0456138,.0599472,.116585,0,2.7399," "," "," ",0
"PX64H0-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",4000,87500,0,21280,15000,3344,144700,4386,34339,104335,269931,563428,.0315382,.738615,0,.0919278,.0357298,.00724138,.636616,.0217716,.164028,.153375,.314701,.637115,0
"D2VYB7-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",21317,26200,27400,22000,17900,19300,31696,29700,30476,134098,144240,146240,1.3666,1.32833,1.49672,2.04318,1.80068,2.9156,3.60029,2.92658,3.27853,14.0563,15.3072,10.873,0
"H1W6C4-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",66565,53078,25490,31276,22289,25155,21545,11026,25363,23955,32291,40625,2.81447,2.47519,1.38255,.89724,1.24297,1.41146,1.21346,.293136,1.20644,1.19889,1.56494,.772662,.360555367389209
"NXFSQT-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",995140,871441,847294,925956,1055430,1071430,1251733,1335189,1492203,1554655,1780621,1202038,4.63928,4.19587,3.18556,2.31486,3.36323,3.38805,5.31935,6.70734,5.11819,4.42825,2.88243,3.74701,1.90473131668337
"HC6FBY-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",2190703,2044989,1924601,1909880,1951779,1921512,2042323,2168006,2177946,2215397,2190948,2442837,9.02791,8.74712,11.1743,16.2862,8.03168,13.0801,14.4264,11.5747,26.6389,29.5595,15.5043,9.20328,18.8761766898019
"DGJB2X-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",400,400,400,400,400,400,400,400,400,400,400,400," "," "," "," "," "," "," "," "," ",.0272727,.03125,.0434783,0
"WGQ74Q-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",15430,8298,4361,2842,1696,3925,3754,1858,1772,1835,46097,14952,1.83407,2.73591,1.03858,1.15811,.279085,.839213,.465757,.47398,.258309,.259217,5.20752,2.99639," "
"Q66RF2-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",2555,1511,572,475,1403,507,96,680,267,869,0,116,1.18948,1.73678,2.24314,.295766,1.71936,.302687,.277457,1.60377,.695313,1.13595," ",.711656," "
"QG1FM5-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",526628,667870,770933,885238,977847,1238706,952729,1023337,1000976,946313,1134642,1225078,3.62208,5.57879,4.13662,2.15609,5.81726,4.53323,4.81439,6.97443,4.78407,3.95652,3.16152,6.57054,1.61634522463518
"SM0Z0Y-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",2923824,3157928,3227469,3137367,3337320,3766045,3787074,3744118,4177405,3983913,4039109,3938560,6.78438,5.74679,3.62853,7.69115,4.97214,6.51187,7.15009,4.42152,4.04419,6.08592,5.92371,6.02133,4.29082956516678
"HMVRM8-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",1500,13500,0,0,300,3500,0,7513,4000,34500,2400,5700,.0187706,.204591," ",0,.0116951,.192418,0,.161279,.159524,1.56537,.0755042,.191665,0
"G9ZKT1-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",2913899,2435195,3448157,3809087,4694407,4158478,6475144,4079648,4560107,7550994,2877036,2842579,1.32765,1.18554,1.63083,1.73843,2.67127,2.55128,2.97435,3.17133,1.46933,2.30368,1.47546,1.36267,.134395814176337
"SHNDLT-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",12745102,11652061,13195131,11803752,11738116,13116940,14024140,13219417,14602527,9557285,11226177,14463297,2.87831,3.07104,2.11575,3.08645,2.3388,2.53399,2.72068,2.32525,2.1673,1.53914,1.78932,2.03234,.732280217969572
"C4HBRT-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",31438755,32581503,32503901,32287034,33269043,38435690,43501770,24096693,18765949,15660655,15250167,15900104,7.82955,5.61964,3.80207,6.8202,5.13576,4.35423,2.94395,3.29329,3.12017,2.12544,1.37043,3.05804,2.07789299186466
"CL04BP-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",1300,1500,700,0,0,0,0,0,0,272,80734,0,.0144637,.0149827,.0113523," "," "," "," "," ",0,.00254176,.926181,0,0
"S10JZW-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",671300,738500,147900,26500,15300,346,32221,222798,350500,110300,0,26570,.194105,.336877,.338738,.0552511,.044831,.00117197,.134367,.695411,.865198,.26545,0,.208712,0
"RBB7RY-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",14170879,12009065,13352171,12078683,11746423,11841154,14899194,14589753,15183767,14256339,13779321,13704973,3.99891,5.54981,7.64585,6.79032,5.38088,2.68573,5.75359,5.94251,4.22804,4.55761,5.6766,3.17157,21.1055465957286
"R81XMY-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",1902,8406,8115,0,711,1500,1000,15714,5642,945,2200,6258,.0343145,.143706,.133374,0,.013166,.0241046,.0150862,.369844,.275375,.0360656,.0815085,.213698,0
"PLYXLD-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",49759,98814,135576,141653,107545,103818,159839,67981,194835,13688,120669,79655,.0803716,.118384,.204508,.259303,.147772,.157655,.251904,.0472218,.309319,.0197479,.2682,.176819," "
"TVT949-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",30663,42910,17319,26295,38515,32213,23354,16056,1790,22825,67408,34713,.62834,1.33609,.43617,.568098,.814271,.606157,.61947,.474384,.0378124,.484011,1.3628,.746741,.161673776769656
"DR58LV-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",36387,43564,48662,61457,273290,236797,221556,84571,115242,4686,779,3103,.332183,.410342,.311734,.255844,.779679,1.15162,.94485,.342019,4.04827,.214198,.0399119,.186849,.0410274628841106
"S4D8R5-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",8006,10641,10133,4988,3452,8603,14019,9180,10785,7082,4537,4174,.204485,.421142,.412363,.12485,.0924948,.245079,.52705,.422905,.226981,.123692,.115687,.143649,.0795615152821512
"HZBYVG-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",175980,154056,33808,50319,219252,188479,44637,244224,85318,28524,48143,151363,.900048,.856162,.110607,.21327,.829297,.625881,.17945,1.14349,.356243,.0677799,.193128,.595329,.231134815863056
"SZKK0J-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",95360,22777,2584,3470,5198,9321,6444,8750,4366,2592,1242,5623,2.35097,.578287,.0877568,.151727,.212641,.29751,.149815,.242873,.174208,.106816,.0606771,.313137,1.33654800037787
"GC42JC-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",500,400,89502,460,20447,15892,32602,1698,108,19980,0,99075,.00768413,.0111815,3.91083,.0112642,.310196,.155726,.490117,.0494051,.00237286,.295931,0,.847719,0
"MNWW7X-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",100,281,2183,5305,1371,2247,6175,18093,19842,12021,11824,2912,.00919456,.0236174,.139426,.305975,.144926,.225716,.393663,.793587,1.43897,.293174,.67285,.216216," "
"MWTV7N-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",89684,87953,56336,28971,46139,52706,39479,78643,65752,53593,42660,81601,.227054,.472474,.224025,.111371,.172969,.254381,.161198,.310889,.271469,.152172,.127742,.244579,.083356798849088
"SLG208-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",2100,2300,2300,2400,2100,2100,2100,2100,2100,2100,3100,2300,1.15385,.720153,.763791,.785389,1.59462,1.08812,.843142,.755713,.91891,1.16266,1.3977,1.07168,0
"QLL1T4-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",6353184,6590334,5999421,5775611,6143161,5326514,4949682,4571887,5266364,5464922,5226281,5050375,12.2753,13.481,8.23578,8.62862,8.2404,3.68917,5.79572,6.25496,7.46318,10.2001,5.49663,5.67992,9.75419450842011
"M9DV6S-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",0,300,182100,0,400,200,8000,0,11500,0,0,0,0,.00228312,1.2515,0,.00489955,.00301961,.0907646,0,.102206," "," ",0,0
"FGWDJN-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",2319818,2301761,2301322,2291011,2304644,2148764,2124029,2123919,2118843,2083609,2112734,2070511,62.105,79.0284,83.7304,47.6229,50.0661,65.0495,53.6274,31.8804,26.9464,34.1676,35.1725,28.8871,0
"TR7FQ8-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",3976279,3392102,3378471,4005817,4140224,4046683,3288768,2846663,3199207,3713523,4236708,4552573,8.02841,10.1112,6.49753,7.71409,5.93649,5.59253,5.36427,4.26262,4.22083,5.0379,7.35453,4.80427,4.91532737411486
"WK32BC-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",59300,60400,62500,67864,60500,57500,56400,61291,58462,59597,63531,65242,9.8721,9.83811,8.88088,9.42032,10.2336,11.8802,11.5226,9.75951,9.27901,11.5594,11.2808,11.5531,0
"VRMF10-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,.0333333,.00783162,.00963098,.0375888,.0144663,.00725619,.00844796,.00715626,.012161,.011637,.00981193,.00656363," "
"Q293CW-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",41200,41100,42100,42100,42500,43000,55500,59900,57400,73000,98800,740400,.508035,.757598,2.7002,1.38416,1.18415,2.24953,.796933,.496183,.835026,.535938,.631628,6.35145,0
"CRVC2W-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",4496,3755,21152,2265,500,1000,2000,182467,833317,8389,0,514,.130843,.122912,.736972,.0389462,.00918972,.0164175,.0190107,1.4264,7.5937,.157157,0,.017038,0
"V86L1Y-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",5457,423,100,7700,200,500,0,0,771,15741,738,391,.108267,.00642656,.00199136,.437012,.00959135,.028284," ",0,.0180444,.265836,.012149,.0062935,0
"BWDZ2P-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",7252543,7221518,7899015,8430257,8450705,8989168,8290326,8496206,7684761,5982885,5124681,6476817,4.30141,4.56321,3.64155,4.56124,2.80525,3.52156,4.59501,5.38958,4.13178,2.75508,1.35363,2.5073,1.13393931577074
"RPWCT1-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",4274647,4284029,4166622,3956781,3933970,3927866,3701221,3622407,3641783,3593822,2859913,2655125,9.85578,7.43235,9.09932,11.5373,8.90476,10.4844,8.34829,6.38449,8.22519,6.58834,5.607,4.42909,4.19232725849438
"V5MTZ3-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",11600,11600,11600,11600,11600,11600,11600,11600,11600,11600,11600,0,11.6,11.6," "," ",18.1534,4.46784,.745981,.293671,.293671,.0579884,.0673167,0," "
"MXTBJD-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",15146,6354,40600,121700,758870,410600,0,52117,664,88880,3000,16300,.0492948,.0750066,.431195,.362307,2.156,1.57269,0,.251859,.00415047,.68376,.0190991,.11937,0
"CT46MT-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",400,0,0,313800,0,0,0,0,0,0,0,0,.00390271," ",0,1.43935," "," "," "," "," "," "," "," "," "
"LM07L0-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",13800,628,536,10000,0,200,200,2745,1000,11775,1688,0,.184658,.00355064,.00228131,.121931,0,.00547334,.00320287,.0286655,.0123161,.298453,.0321257,0,0
"R4M0RM-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",30039,32756,26246,26682,25412,26528,30272,28206,29217,29596,22183,3253,8.6319,6.70131,4.36633,3.49012,5.25911,6.98289,6.98155,12.8326,6.09322,6.273,1.60805,.437466,1.00954020365564
"RDPPVW-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",15926,15938,21258,20056,12086,5374,2208,1334,0,1011,1953,2301,2.68839,1.28449,2.96361,1.11003,.355669,.350007,.100014,.354316," ",.377098,1.21606,.968842," "
"FWHNWZ-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",3811277,3621714,4433718,3422245,3936120,1414345,714939,1008115,803996,1205816,823593,1306112,6.15632,3.27864,2.06934,2.04626,1.3241,.655162,1.30262,.893863,1.00211,1.05088,.952354,1.48125,3.50102810768505
"GB4QMW-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",5032130,5224846,5332068,5497348,6570470,7039756,6638328,6523583,6728847,6757420,6336204,5536925,20.3859,20.2733,15.8579,8.51992,5.78611,19.0579,16.3233,17.8259,17.9413,16.5052,7.57968,15.2167,8.38800145392714
"FWJSXX-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",5199492,5853381,5919170,6058306,5659092,5395770,5260915,4939232,6059335,6134621,5941087,5905855,11.2175,17.033,11.0144,4.38205,7.79112,3.70283,8.77669,4.36914,8.05869,5.29778,8.29265,11.2496,13.1221937686759
"T9KQLM-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",74700,218100,131399,102066,103772,100201,102005,98100,99015,183200,91449,62278,1.05469,4.24197,3.2612,1.90222,1.76133,1.61632,1.07083,1.30283,1.87248,3.69847,1.80521,1.19865,0
"NWD9TC-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",4681150,5342860,5536477,5499992,5382059,5226052,5107161,5160216,5282717,5180832,5265368,5390061,25.7587,20.4542,32.4522,38.9339,26.9181,25.5221,32.925,21.86,25.9506,18.3576,21.4472,15.8853,13.8649093439919
"JZZRFX-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",100000,12509,4838,5237,2843,5476,15167,26500,3202,63657,15724,1315,.500992,.0678923,.0625119,.0283849,.0124239,.0338444,.123652,.139717,.0129589,.164963,.0343509,.00196634,0
"T9RNY6-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",667256,647913,651137,682401,663368,650299,631287,629585,626637,619907,643229,655019,5.41608,4.97736,4.64362,3.57478,3.64136,3.58786,3.77144,3.89853,3.34878,2.77996,2.25755,3.25799,.724277120946559
"LKPTH2-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",369450,369029,371824,374357,379265,378669,375753,370263,373759,362745,392321,370071,5.83382,5.36926,4.99945,4.56355,4.56874,5.15624,4.22522,3.05238,4.12365,4.16278,4.49307,3.96447,1.28108512574
"F03K9Z-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",11931,12832,11415,11088,13531,13242,12512,13424,17083,18067,16195,16988,2.23972,2.2301,1.8874,.867402,1.06812,1.7546,1.85997,2.05511,3.23358,3.4578,1.6951,1.97214,.53995660796281
"LFH8MP-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",957143,995032,870216,1096660,1072560,1034239,1451262,1267353,1146382,1028027,1043317,517168,1.85194,2.60515,1.67178,2.6392,1.60246,2.04978,1.72005,1.77171,2.48678,1.69198,1.35009,.640188,.820377814538317
"G6L1P4-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",5000,0,0,0,5000,0,0,0,0,0,2000,0,.0333828," "," ",0,.0371068," "," "," "," ",0,.019994,0,0
"DZ3H1T-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",900,0,0,0,0,100,100,100,1400,1000,1000,0,.175015," "," "," ",0,.0545239,.0524549,.0275883,.313858,.318663,.466769," ",0
"WW7DBW-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",10683294,6690058,6703135,6821200,6410494,5948346,5528292,5943182,6232095,5951858,5498970,5870080,3.56551,4.84513,4.99407,9.38659,7.31274,3.01311,11.9152,4.30542,10.4955,8.86066,8.38901,8.00147,11.4719939266146
"FTKYJG-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",200,200,200,200,0,0,0,0,0,0,0,0," "," ",.01,.01," "," "," "," "," "," "," "," "," "
